"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RIY8TBV7","journalArticle","2019","Bouma-Gregson, Keith; Olm, Matthew R.; Probst, Alexander J.; Anantharaman, Karthik; Power, Mary E.; Banfield, Jillian F.","Impacts of microbial assemblage and environmental conditions on the distribution of anatoxin-a producing cyanobacteria within a river network","The ISME Journal","","1751-7370","10.1038/s41396-019-0374-3","https://www.nature.com/articles/s41396-019-0374-3","Blooms of planktonic cyanobacteria have long been of concern in lakes, but more recently, harmful impacts of riverine benthic cyanobacterial mats been recognized. As yet, we know little about how various benthic cyanobacteria are distributed in river networks, or how environmental conditions or other associated microbes in their consortia affect their biosynthetic capacities. We performed metagenomic sequencing for 22 Oscillatoriales-dominated (Cyanobacteria) microbial mats collected across the Eel River network in Northern California and investigated factors associated with anatoxin-a producing cyanobacteria. All microbial communities were dominated by one or two cyanobacterial species, so the key mat metabolisms involve oxygenic photosynthesis and carbon oxidation. Only a few metabolisms fueled the growth of the mat communities, with little evidence for anaerobic metabolic pathways. We genomically defined four cyanobacterial species, all which shared <96% average nucleotide identity with reference Oscillatoriales genomes and are potentially novel species in the genus Microcoleus. One of the Microcoleus species contained the anatoxin-a biosynthesis genes, and we describe the first anatoxin-a gene cluster from the Microcoleus clade within Oscillatoriales. Occurrence of these four Microcoleus species in the watershed was correlated with total dissolved nitrogen and phosphorus concentrations, and the species that contains the anatoxin-a gene cluster was found in sites with higher nitrogen concentrations. Microbial assemblages in mat samples with the anatoxin-a gene cluster consistently had a lower abundance of Burkholderiales (Betaproteobacteria) species than did mats without the anatoxin-producing genes. The associations of water nutrient concentrations and certain co-occurring microbes with anatoxin-a producing Microcoleus motivate further exploration for their roles as potential controls on the distributions of toxigenic benthic cyanobacteria in river networks.","2019-02-26","2019-05-25 00:37:20","2019-06-07 04:47:05","2019-05-25 00:37:21","1618","","6","13","","","","","","","","","","En","2019 The Author(s)","","","","www.nature.com","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/Y4YPQ9LU/Bouma-Gregson et al_2019_Impacts of microbial assemblage and environmental conditions on the.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/K6PRCRFB/s41396-019-0374-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HN2D3M3L","journalArticle","2019","Al-Shayeb, Basem; Sachdeva, Rohan; Chen, Lin-Xing; Ward, Fred; Munk, Patrick; Devoto, Audra; Castelle, Cindy J.; Olm, Matthew R.; Bouma-Gregson, Keith; Amano, Yuki; He, Christine; Méheust, Raphaël; Brooks, Brandon; Thomas, Alex; Lavy, Adi; Matheus-Carnevali, Paula; Sun, Christine; Goltsman, Daniela S. A.; Borton, Mikayla A.; Nelson, Tara C.; Kantor, Rose; Jaffe, Alexander L.; Keren, Ray; Farag, Ibrahim F.; Lei, Shufei; Finstad, Kari; Amundson, Ronald; Anantharaman, Karthik; Zhou, Jinglie; Probst, Alexander J.; Power, Mary E.; Tringe, Susannah G.; Li, Wen-Jun; Wrighton, Kelly; Harrison, Sue; Morowitz, Michael; Relman, David A.; Doudna, Jennifer A; Lehours, Anne-Catherine; Warren, Lesley; Cate, Jamie H. D.; Santini, Joanne M.; Banfield, Jillian F.","Clades of huge phage from across Earth’s ecosystems","bioRxiv","","","10.1101/572362","http://biorxiv.org/content/early/2019/03/11/572362.abstract","Phage typically have small genomes and depend on their bacterial hosts for replication. DNA sequenced from many diverse ecosystems revealed hundreds of huge phage genomes, between 200 kbp and 716 kbp in length. Thirty-four genomes were manually curated to completion, including the largest phage genomes yet reported. Expanded genetic repertoires include diverse and new CRISPR-Cas systems, tRNAs, tRNA synthetases, tRNA modification enzymes, translation initiation and elongation factors, and ribosomal proteins. Phage CRISPR-Cas systems have the capacity to silence host transcription factors and translational genes, potentially as part of a larger interaction network that intercepts translation to redirect biosynthesis to phage-encoded functions. In addition, some phage may repurpose bacterial CRISPR-Cas systems to eliminate competing phage. We phylogenetically define major clades of huge phage from human and other animal microbiomes, oceans, lakes, sediments, soils and the built environment. We conclude that their large gene inventories reflect a conserved biological strategy, observed over a broad bacterial host range and across Earth’s ecosystems.","2019-03-11","2019-06-07 04:07:41","2019-06-07 12:04:42","","572362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PNDH8DR","journalArticle","2019","Olm, Matthew R; Bhattacharya, Nicholas; Crits-Christoph, Alexander; Firek, Brian A; Baker, Robyn; Song, Yun S; Morowitz, Michael J; Banfield, Jillian F","Necrotizing enterocolitis is preceded by increased gut bacterial replication, Klebsiella, and fimbriae-encoding bacteria that may stimulate TLR4 receptors","bioRxiv","","","10.1101/558676","http://biorxiv.org/content/early/2019/02/22/558676.abstract","Necrotizing enterocolitis (NEC) is a devastating intestinal disease that occurs primarily in premature infants. We performed genome-resolved metagenomic analysis of 1,163 fecal samples from premature infants to identify microbial features predictive of NEC. Features considered include genes, bacterial strain types, eukaryotes, bacteriophages, plasmids and growth rates. A machine learning classifier found that samples collected prior to NEC diagnosis harbored significantly more Klebsiella, bacteria encoding fimbriae, and bacteria encoding secondary metabolite gene clusters related to quorum sensing and bacteriocin production. Notably, replication rates of all bacteria, especially Enterobacteriaceae, were significantly higher two days before NEC diagnosis. The findings uncover biomarkers that could lead to early detection of NEC and targets for microbiome-based therapeutics.","2019-01-01","2019-06-07 04:07:58","2019-06-07 04:07:58","","558676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RD8NEX4M","journalArticle","2019","Olm, Matthew R.; West, Patrick T.; Brooks, Brandon; Firek, Brian A.; Baker, Robyn; Morowitz, Michael J.; Banfield, Jillian F.","Genome-resolved metagenomics of eukaryotic populations during early colonization of premature infants and in hospital rooms","Microbiome","","2049-2618","10.1186/s40168-019-0638-1","https://doi.org/10.1186/s40168-019-0638-1","Fungal infections are a significant cause of mortality and morbidity in hospitalized preterm infants, yet little is known about eukaryotic colonization of infants and of the neonatal intensive care unit as a possible source of colonizing strains. This is partly because microbiome studies often utilize bacterial 16S rRNA marker gene sequencing, a technique that is blind to eukaryotic organisms. Knowledge gaps exist regarding the phylogeny and microdiversity of eukaryotes that colonize hospitalized infants, as well as potential reservoirs of eukaryotes in the hospital room built environment.","2019-02-15","2019-06-07 04:09:23","2019-06-07 04:09:23","2019-06-07 04:09:23","26","","1","7","","Microbiome","","","","","","","","","","","","","BioMed Central","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/7QU5US3U/Olm et al_2019_Genome-resolved metagenomics of eukaryotic populations during early.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/NX95C69W/s40168-019-0638-1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GK65TPRC","journalArticle","2019","Devoto, Audra E.; Santini, Joanne M.; Olm, Matthew R.; Anantharaman, Karthik; Munk, Patrick; Tung, Jenny; Archie, Elizabeth A.; Turnbaugh, Peter J.; Seed, Kimberley D.; Blekhman, Ran; Aarestrup, Frank M.; Thomas, Brian C.; Banfield, Jillian F.","Megaphages infect Prevotella and variants are widespread in gut microbiomes","Nature Microbiology","","2058-5276","10.1038/s41564-018-0338-9","https://www.nature.com/articles/s41564-018-0338-9","Here the authors discover megaphages, or Lak phages, with genomes &gt;540 kilobases in length in the gut microbiomes of a range of hosts, identify Prevotella as the bacterial host and suggest that these phages are common members of the mammalian gut microbiome.","2019-04-28","2019-06-07 04:09:35","2019-06-07 04:46:30","2019-06-07 04:09:35","693","","4","4","","","","","","","","","","En","2019 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/QDL8L9BV/Devoto et al_2019_Megaphages infect Prevotella and variants are widespread in gut microbiomes.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/KTHRI3T2/s41564-018-0338-9.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2X9KE4PQ","journalArticle","2019","Carnevali, Paula B. Matheus; Schulz, Frederik; Castelle, Cindy J.; Kantor, Rose S.; Shih, Patrick M.; Sharon, Itai; Santini, Joanne M.; Olm, Matthew R.; Amano, Yuki; Thomas, Brian C.; Anantharaman, Karthik; Burstein, David; Becraft, Eric D.; Stepanauskas, Ramunas; Woyke, Tanja; Banfield, Jillian F.","Hydrogen-based metabolism as an ancestral trait in lineages sibling to the Cyanobacteria","Nature Communications","","2041-1723","10.1038/s41467-018-08246-y","https://www.nature.com/articles/s41467-018-08246-y","Most cyanobacteria are oxygenic photoautotrophs, and fermenters under dark anoxic conditions. Here, the authors analyse genomic sequences of related uncultivated bacteria, inferring their metabolic potential, and supporting that their common ancestor was an anaerobe capable of fermentation and H2 metabolism.","2019-01-28","2019-06-07 11:55:17","2019-06-07 11:55:55","2019-06-07 11:55:17","463","","1","10","","","","","","","","","","En","2019 The Author(s)","","","","www.nature.com","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/3TN9Z4UT/Carnevali et al_2019_Hydrogen-based metabolism as an ancestral trait in lineages sibling to the.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/DZNFTT9L/s41467-018-08246-y.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNAL3EIK","journalArticle","2019","Rahman, Sumayah F.; Olm, Matthew R.; Morowitz, Michael J.; Banfield, Jill F.","Functional potential of bacterial strains in the premature infant gut microbiome is associated with gestational age","bioRxiv","","","10.1101/530139","https://www.biorxiv.org/content/10.1101/530139v1","<p>The gut microbiota of premature and full-term infants have many known differences, but the extent to which the degree of prematurity influences the structure and functional potential of the microbiome has not been deeply explored. Here, we used genome-resolved metagenomics to address how gestational age impacts the premature infant gut microbiome. We found that gestational age is associated with species richness, with more premature infants having lower species richness; this effect lasts until the fourth week of life. Novel Clostridium species and strains related to Streptococcus salivarius and Enterococcus faecalis colonize infants of different gestational ages, and the metabolic potential of these organisms can be distinguished. Thus, we conclude that the extent of prematurity, or directly linked factors, can be an important influence on the microbiome and its functions.</p>","2019-01-24","2019-06-07 11:55:23","2019-06-07 11:55:23","2019-06-07 11:55:23","530139","","","","","","","","","","","","","en","© 2019, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution 4.0 International), CC BY 4.0, as described at http://creativecommons.org/licenses/by/4.0/","","","","www.biorxiv.org","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/GQ9CIU3T/Rahman et al_2019_Functional potential of bacterial strains in the premature infant gut.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/59V2GK57/530139v1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXMCCJK3","journalArticle","2018","Sher, Yonatan; Olm, Matthew R.; Raveh-Sadka, Tali; Brown, Christopher; Sher, Ruth; Firek, Brian; Baker, Robyn; Morowitz, Michael; Banfield, Jillian F.","Shifts in microbial transcription patterns prior to onset of Necrotizing enterocolitis may indicate low oxygen levels in the gut","bioRxiv","","","10.1101/466417","https://www.biorxiv.org/content/10.1101/466417v1","<h3>Summary</h3> <p>Premature infants are at risk for developing <i>necrotizing enterocolitis</i> (NEC), an inflammatory disease that can progress to necrosis of gut tissue. Previous attempts have failed to identify any consistent predictor of NEC. We hypothesized that prior to the appearance of NEC symptoms, the gut microbiome shifts in its transcriptional profile. To test this hypothesis we integrated genome-resolved metagenomic and metatranscriptomic data from multiple time-points in the first month of life of four preterm infants, two of whom later developed NEC. Gut microbiomes of NEC infants showed increased transcription of high oxygen affinity cytochrome oxidases and lower transcription of genes to detoxify nitric oxide, an antimicrobial compound released by host cells. These results, and high transcription of H<sub>2</sub> production genes, suggest low O<sub>2</sub> conditions prior to NEC onset, and are consistent with hypoxic conditions in diseased gut tissue. The findings motivate further testing of transcript data as a predictor of NEC.</p><h3>Highlights</h3> <p>Transcription of high oxygen affinity microbial cytochrome oxidase may predict <i>necrotizing enterocolitis</i> (NEC) development.</p><p>Lower transcription of microbial genes to detoxify nitric oxide (NO) may also predict NEC development.</p><p>Higher transcription of H<sub>2</sub> production genes by <i>Escherichia sp.</i> was found in the gut of premature infants that develop NEC.</p>","2018-11-09","2019-06-07 11:56:19","2019-06-07 11:56:19","2019-06-07 11:56:19","466417","","","","","","","","","","","","","en","© 2018, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/","","","","www.biorxiv.org","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/NTHQWKSH/Sher et al_2018_Shifts in microbial transcription patterns prior to onset of Necrotizing.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/BGSMTQ7T/140015.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6XUA6UL","journalArticle","2018","Brooks, Brandon; Olm, Matthew R.; Firek, Brian A.; Baker, Robyn; Geller-McGrath, David; Reimer, Sophia R.; Soenjoyo, Karina R.; Yip, Jennifer S.; Dahan, Dylan; Thomas, Brian C.; Morowitz, Michael J.; Banfield, Jillian F.","The developing premature infant gut microbiome is a major factor shaping the microbiome of neonatal intensive care unit rooms","Microbiome","","2049-2618","10.1186/s40168-018-0493-5","https://doi.org/10.1186/s40168-018-0493-5","The neonatal intensive care unit (NICU) contains a unique cohort of patients with underdeveloped immune systems and nascent microbiome communities. Patients often spend several months in the same room, and it has been previously shown that the gut microbiomes of these infants often resemble the microbes found in the NICU. Little is known, however, about the identity, persistence, and absolute abundance of NICU room-associated bacteria over long stretches of time. Here, we couple droplet digital PCR (ddPCR), 16S rRNA gene surveys, and recently published metagenomics data from infant gut samples to infer the extent to which the NICU microbiome is shaped by its room occupants.","2018-06-20","2019-06-07 11:56:27","2019-06-07 11:56:27","2019-06-07 11:56:27","112","","1","6","","Microbiome","","","","","","","","","","","","","BioMed Central","","","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/FFJE8ZUX/Brooks et al_2018_The developing premature infant gut microbiome is a major factor shaping the.pdf; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/ZIZJDT2N/s40168-018-0493-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BRA8SIG","journalArticle","2018","Brown, Christopher T.; Xiong, Weili; Olm, Matthew R.; Thomas, Brian C.; Baker, Robyn; Firek, Brian; Morowitz, Michael J.; Hettich, Robert L.; Banfield, Jillian F.","Hospitalized Premature Infants Are Colonized by Related Bacterial Strains with Distinct Proteomic Profiles","mBio","","2150-7511","10.1128/mBio.00441-18","https://mbio.asm.org/content/9/2/e00441-18","During the first weeks of life, microbial colonization of the gut impacts human immune system maturation and other developmental processes. In premature infants, aberrant colonization has been implicated in the onset of necrotizing enterocolitis (NEC), a life-threatening intestinal disease. To study the premature infant gut colonization process, genome-resolved metagenomics was conducted on 343 fecal samples collected during the first 3 months of life from 35 premature infants housed in a neonatal intensive care unit, 14 of whom developed NEC, and metaproteomic measurements were made on 87 samples. Microbial community composition and proteomic profiles remained relatively stable on the time scale of a week, but the proteome was more variable. Although genetically similar organisms colonized many infants, most infants were colonized by distinct strains with metabolic profiles that could be distinguished using metaproteomics. Microbiome composition correlated with infant, antibiotics administration, and NEC diagnosis. Communities were found to cluster into seven primary types, and community type switched within infants, sometimes multiple times. Interestingly, some communities sampled from the same infant at subsequent time points clustered with those of other infants. In some cases, switches preceded onset of NEC; however, no species or community type could account for NEC across the majority of infants. In addition to a correlation of protein abundances with organism replication rates, we found that organism proteomes correlated with overall community composition. Thus, this genome-resolved proteomics study demonstrated that the contributions of individual organisms to microbiome development depend on microbial community context. IMPORTANCE Humans are colonized by microbes at birth, a process that is important to health and development. However, much remains to be known about the fine-scale microbial dynamics that occur during the colonization period. We conducted a genome-resolved study of microbial community composition, replication rates, and proteomes during the first 3 months of life of both healthy and sick premature infants. Infants were found to be colonized by similar microbes, but each underwent a distinct colonization trajectory. Interestingly, related microbes colonizing different infants were found to have distinct proteomes, indicating that microbiome function is not only driven by which organisms are present, but also largely depends on microbial responses to the unique set of physiological conditions in the infant gut.","2018-05-02","2019-06-07 11:56:37","2019-06-07 11:56:37","2019-06-07 11:56:37","e00441-18","","2","9","","","","","","","","","","en","Copyright © 2018 Brown et al.. This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International license.","","","","mbio.asm.org","","PMID: 29636439","","/Users/mattolm/Dropbox/Graduate School/Zotero/storage/5H7YTNEZ/Brown et al_2018_Hospitalized Premature Infants Are Colonized by Related Bacterial Strains with.pdf; ; /Users/mattolm/Dropbox/Graduate School/Zotero/storage/WBZ3NBKL/e00441-18.html","http://www.ncbi.nlm.nih.gov/pubmed/29636439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
