"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8FBFI6Y8","journalArticle","2020","Sher, Yonatan; Olm, Matthew R; Raveh-Sadka, Tali; Brown, Christopher T; Sher, Ruth; Firek, Brian; Baker, Robyn; Morowitz, Michael J; Banfield, Jillian F","Combined analysis of microbial metagenomic and metatranscriptomic sequencing data to assess in situ physiological conditions in the premature infant gut","Plos one","","1932-6203","10.1371/journal.pone.0229537","https://doi.org/10.1371/journal.pone.0229537","","2020-03-04","2020-06-23 00:34:12","2021-01-20 18:28:34","","e0229537","","3","15","","Plos one","","","","","","","","","All rights reserved","","","","","","Publisher: Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HB2RMR5","journalArticle","2020","Crits-Christoph, Alexander; Olm, Matthew R; Diamond, Spencer; Bouma-Gregson, Keith; Banfield, Jillian F","Soil bacterial populations are shaped by recombination and gene-specific selection across a grassland meadow","The ISME Journal","","1751-7370","10.1038/s41396-020-0655-x","https://doi.org/10.1038/s41396-020-0655-x","","2020-04-23","2020-06-23 00:34:12","2021-01-20 18:27:54","","1-13","","","","","The ISME Journal","","","","","","","","","All rights reserved","","","","","","Publisher: Nature Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6L8QQ8Y","journalArticle","2021","Crits-Christoph, Alexander; Kantor, Rose S.; Olm, Matthew R.; Whitney, Oscar N.; Al-Shayeb, Basem; Lou, Yue Clare; Flamholz, Avi; Kennedy, Lauren C.; Greenwald, Hannah; Hinkle, Adrian; Hetzel, Jonathan; Spitzer, Sara; Koble, Jeffery; Tan, Asako; Hyde, Fred; Schroth, Gary; Kuersten, Scott; Banfield, Jillian F.; Nelson, Kara L.","Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants","mBio","","","10.1128/mBio.02703-20","http://mbio.asm.org/content/12/1/e02703-20.abstract","Viral genome sequencing has guided our understanding of the spread and extent of genetic diversity of SARS-CoV-2 during the COVID-19 pandemic. SARS-CoV-2 viral genomes are usually sequenced from nasopharyngeal swabs of individual patients to track viral spread. Recently, RT-qPCR of municipal wastewater has been used to quantify the abundance of SARS-CoV-2 in several regions globally. However, metatranscriptomic sequencing of wastewater can be used to profile the viral genetic diversity across infected communities. Here, we sequenced RNA directly from sewage collected by municipal utility districts in the San Francisco Bay Area to generate complete and nearly complete SARS-CoV-2 genomes. The major consensus SARS-CoV-2 genotypes detected in the sewage were identical to clinical genomes from the region. Using a pipeline for single nucleotide variant calling in a metagenomic context, we characterized minor SARS-CoV-2 alleles in the wastewater and detected viral genotypes which were also found within clinical genomes throughout California. Observed wastewater variants were more similar to local California patient-derived genotypes than they were to those from other regions within the United States or globally. Additional variants detected in wastewater have only been identified in genomes from patients sampled outside California, indicating that wastewater sequencing can provide evidence for recent introductions of viral lineages before they are detected by local clinical sequencing. These results demonstrate that epidemiological surveillance through wastewater sequencing can aid in tracking exact viral strains in an epidemic context.","2021-02-23","2021-01-20 18:20:54","2021-01-20 18:20:54","","e02703-20","","1","12","","","","","","","","","","","All rights reserved","","","","","","","","","","","","Pettigrew, Melinda M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSB4EZUG","journalArticle","2019","Olm, Matthew R; Bhattacharya, Nicholas; Crits-Christoph, Alexander; Firek, Brian A; Baker, Robyn; Song, Yun S; Morowitz, Michael J; Banfield, Jillian F","Necrotizing enterocolitis is preceded by increased gut bacterial replication, Klebsiella, and fimbriae-encoding bacteria","Science advances","","2375-2548","10.1126/sciadv.aax5727","https://advances.sciencemag.org/content/5/12/eaax5727","","2019-12-11","2020-02-15 00:48:36","2020-02-18 16:18:05","","eaax5727","","12","5","","Science advances","","","","","","","","","All rights reserved","","","","","","","","/Users/mattolm/Zotero/storage/ZF88AS8S/Olm et al_2019_Necrotizing enterocolitis is preceded by increased gut bacterial replication,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VKRHXM6","journalArticle","2020","Olm, Matthew R; Crits-Christoph, Alexander; Diamond, Spencer; Lavy, Adi; Carnevali, Paula B Matheus; Banfield, Jillian F","Consistent Metagenome-Derived Metrics Verify and Delineate Bacterial Species Boundaries","mSystems","","2379-5077","10.1128/mSystems.00731-19","https://msystems.asm.org/content/5/1/e00731-19.abstract","","2020-02-25","2020-02-15 00:44:30","2020-02-18 16:17:33","","","","1","5","","mSystems","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQ9GRXXL","journalArticle","2014","Pope, Welkin H.; Anders, Kirk R.; Baird, Madison; Bowman, Charles A.; Boyle, Michelle M.; Broussard, Gregory W.; Chow, Tiffany; Clase, Kari L.; Cooper, Shannon; Cornely, Kathleen A.; DeJong, Randall J.; Delesalle, Veronique A.; Deng, Lisa; Dunbar, David; Edgington, Nicholas P.; Ferreira, Christina M.; Hafer, Kathleen Weston; Hartzog, Grant A.; Hatherill, J. Robert; Hughes, Lee E.; Ipapo, Khristina; Krukonis, Greg P.; Meier, Christopher G.; Monti, Denise L.; Olm, Matthew R.; Page, Shallee T.; Peebles, Craig L.; Rinehart, Claire A.; Rubin, Michael R.; Russell, Daniel A.; Sanders, Erin R.; Schoer, Morgan; Shaffer, Christopher D.; Wherley, James; Vazquez, Edwin; Yuan, Han; Zhang, Daiyuan; Cresawn, Steven G.; Jacobs-Sera, Deborah; Hendrix, Roger W.; Hatfull, Graham F.","Cluster M Mycobacteriophages Bongo, PegLeg, and Rey with Unusually Large Repertoires of tRNA Isotypes","Journal of Virology","","0022-538X, 1098-5514","10.1128/JVI.03363-13","https://jvi.asm.org/content/88/5/2461","Genomic analysis of a large set of phages infecting the common host Mycobacterium smegmatis mc2155 shows that they span considerable genetic diversity. There are more than 20 distinct types that lack nucleotide similarity with each other, and there is considerable diversity within most of the groups. Three newly isolated temperate mycobacteriophages, Bongo, PegLeg, and Rey, constitute a new group (cluster M), with the closely related phages Bongo and PegLeg forming subcluster M1 and the more distantly related Rey forming subcluster M2. The cluster M mycobacteriophages have siphoviral morphologies with unusually long tails, are homoimmune, and have larger than average genomes (80.2 to 83.7 kbp). They exhibit a variety of features not previously described in other mycobacteriophages, including noncanonical genome architectures and several unusual sets of conserved repeated sequences suggesting novel regulatory systems for both transcription and translation. In addition to containing transfer-messenger RNA and RtcB-like RNA ligase genes, their genomes encode 21 to 24 tRNA genes encompassing complete or nearly complete sets of isotypes. We predict that these tRNAs are used in late lytic growth, likely compensating for the degradation or inadequacy of host tRNAs. They may represent a complete set of tRNAs necessary for late lytic growth, especially when taken together with the apparent lack of codons in the same late genes that correspond to tRNAs that the genomes of the phages do not obviously encode. IMPORTANCE The bacteriophage population is vast, dynamic, and old and plays a central role in bacterial pathogenicity. We know surprisingly little about the genetic diversity of the phage population, although metagenomic and phage genome sequencing indicates that it is great. Probing the depth of genetic diversity of phages of a common host, Mycobacterium smegmatis, provides a higher resolution of the phage population and how it has evolved. Three new phages constituting a new cluster M further expand the diversity of the mycobacteriophages and introduce novel features. As such, they provide insights into phage genome architecture, virion structure, and gene regulation at the transcriptional and translational levels.","2014-03-01","2018-06-05 16:50:14","2021-03-15 20:48:42","2019-06-07 11:58:36","2461-2480","","5","88","","","","","","","","","","en","Copyright © 2014, American Society for Microbiology. All Rights Reserved.","","","","jvi.asm.org","","PMID: 24335314","","/Users/mattolm/Zotero/storage/QW9B6J9Q/Pope et al_2014_Cluster M Mycobacteriophages Bongo, PegLeg, and Rey with Unusually Large.pdf; ; /Users/mattolm/Zotero/storage/FWJW44UX/2461.html","http://www.ncbi.nlm.nih.gov/pubmed/24335314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCJK2BC6","journalArticle","2016","Dedrick, Rebekah M.; Mavrich, Travis N.; Ng, Wei L.; Reyes, Juan C. Cervantes; Olm, Matthew R.; Rush, Rachael E.; Jacobs‐Sera, Deborah; Russell, Daniel A.; Hatfull, Graham F.","Function, expression, specificity, diversity and incompatibility of actinobacteriophage parABS systems","Molecular Microbiology","","1365-2958","10.1111/mmi.13414","https://onlinelibrary.wiley.com/doi/abs/10.1111/mmi.13414","More than 180 individual phages infecting hosts in the phylum Actinobacteria have been sequenced and grouped into Cluster A because of their similar overall nucleotide sequences and genome architectures. These Cluster A phages are either temperate or derivatives of temperate parents, and most have an integration cassette near the centre of the genome containing an integrase gene and attP. However, about 20% of the phages lack an integration cassette, which is replaced by a 1.4 kbp segment with predicted partitioning functions, including plasmid-like parA and parB genes. Phage RedRock forms stable lysogens in Mycobacterium smegmatis in which the prophage replicates at 2.4 copies/chromosome and the partitioning system confers prophage maintenance. The parAB genes are expressed upon RedRock infection of M. smegmatis, but are downregulated once lysogeny is established by binding of RedRock ParB to parS-L, one of two centromere-like sites flanking the parAB genes. The RedRock parS-L and parS-R sites are composed of eight directly repeated copies of an 8 bp motif that is recognized by ParB. The actinobacteriophage parABS cassettes span considerable sequence diversity and specificity, providing a suite of tools for use in mycobacterial genetics.","2016-05-05","2019-06-07 11:58:13","2019-06-07 11:58:32","2019-06-07 11:58:13","625-644","","4","101","","","","","","","","","","en","© 2016 John Wiley & Sons Ltd","","","","Wiley Online Library","","","","/Users/mattolm/Zotero/storage/VJ7RLI6M/Dedrick et al_2016_Function, expression, specificity, diversity and incompatibility of.pdf; /Users/mattolm/Zotero/storage/V8WDIKTV/mmi.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNJI4YQN","journalArticle","2017","Brown, Christopher T.; Olm, Matthew R.; Thomas, Brian C.; Banfield, Jillian F.","Measurement of bacterial replication rates in microbial communities","Nature Biotechnology","","1546-1696","10.1038/nbt.3704","https://www.nature.com/articles/nbt.3704","Culture-independent microbiome studies have increased our understanding of the complexity and metabolic potential of microbial communities. However, to understand the contribution of individual microbiome members to community functions, it is important to determine which bacteria are actively replicating. We developed an algorithm, iRep, that uses draft-quality genome sequences and single time-point metagenome sequencing to infer microbial population replication rates. The algorithm calculates an index of replication (iRep) based on the sequencing coverage trend that results from bi-directional genome replication from a single origin of replication. We apply this method to show that microbial replication rates increase after antibiotic administration in human infants. We also show that uncultivated, groundwater-associated, Candidate Phyla Radiation bacteria only rarely replicate quickly in subsurface communities undergoing substantial changes in geochemistry. Our method can be applied to any genome-resolved microbiome study to track organism responses to varying conditions, identify actively growing populations and measure replication rates for use in modeling studies.","2017-11-07","2019-04-23 01:48:21","2021-03-15 20:48:07","2019-06-07 11:57:44","1256-1263","","12","34","","","","","","","","","","en","2016 Nature Publishing Group","","","","www.nature.com","","","","/Users/mattolm/Zotero/storage/CKNLUEZW/Brown et al_2016_Measurement of bacterial replication rates in microbial communities.pdf; /Users/mattolm/Zotero/storage/SKYZ6EQS/nbt.html","","Zotero_April11_2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFUZZTS9","journalArticle","2017","Olm, Matthew R.; Butterfield, Cristina N.; Copeland, Alex; Boles, T. Christian; Thomas, Brian C.; Banfield, Jillian F.","The Source and Evolutionary History of a Microbial Contaminant Identified Through Soil Metagenomic Analysis","mBio","","2150-7511","10.1128/mBio.01969-16","https://mbio.asm.org/content/8/1/e01969-16","In this study, strain-resolved metagenomics was used to solve a mystery. A 6.4-Mbp complete closed genome was recovered from a soil metagenome and found to be astonishingly similar to that of Delftia acidovorans SPH-1, which was isolated in Germany a decade ago. It was suspected that this organism was not native to the soil sample because it lacked the diversity that is characteristic of other soil organisms; this suspicion was confirmed when PCR testing failed to detect the bacterium in the original soil samples. D. acidovorans was also identified in 16 previously published metagenomes from multiple environments, but detailed-scale single nucleotide polymorphism analysis grouped these into five distinct clades. All of the strains indicated as contaminants fell into one clade. Fragment length anomalies were identified in paired reads mapping to the contaminant clade genotypes only. This finding was used to establish that the DNA was present in specific size selection reagents used during sequencing. Ultimately, the source of the contaminant was identified as bacterial biofilms growing in tubing. On the basis of direct measurement of the rate of fixation of mutations across the period of time in which contamination was occurring, we estimated the time of separation of the contaminant strain from the genomically sequenced ancestral population within a factor of 2. This research serves as a case study of high-resolution microbial forensics and strain tracking accomplished through metagenomics-based comparative genomics. The specific case reported here is unusual in that the study was conducted in the background of a soil metagenome and the conclusions were confirmed by independent methods. IMPORTANCE It is often important to determine the source of a microbial strain. Examples include tracking a bacterium linked to a disease epidemic, contaminating the food supply, or used in bioterrorism. Strain identification and tracking are generally approached by using cultivation-based or relatively nonspecific gene fingerprinting methods. Genomic methods have the ability to distinguish strains, but this approach typically has been restricted to isolates or relatively low-complexity communities. We demonstrate that strain-resolved metagenomics can be applied to extremely complex soil samples. We genotypically defined a soil-associated bacterium and identified it as a contaminant. By linking together snapshots of the bacterial genome over time, it was possible to estimate how long the contaminant had been diverging from a likely source population. The results are congruent with the derivation of the bacterium from a strain isolated in Germany and sequenced a decade ago and highlight the utility of metagenomics in strain tracking.","2017-03-08","2019-06-07 11:57:35","2019-06-07 11:57:35","2019-06-07 11:57:35","e01969-16","","1","8","","","","","","","","","","en","Copyright © 2017 Olm et al.. This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International license.","","","","mbio.asm.org","","PMID: 28223457","","/Users/mattolm/Zotero/storage/XVM5XZ6Z/Olm et al_2017_The Source and Evolutionary History of a Microbial Contaminant Identified.pdf; ; /Users/mattolm/Zotero/storage/4IASJ65K/e01969-16.html","http://www.ncbi.nlm.nih.gov/pubmed/28223457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDXGP93M","journalArticle","2017","Olm, Matthew R.; Brown, Christopher T.; Brooks, Brandon; Firek, Brian; Baker, Robyn; Burstein, David; Soenjoyo, Karina; Thomas, Brian C.; Morowitz, Michael; Banfield, Jillian F.","Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates","Genome Research","","1088-9051, 1549-5469","10.1101/gr.213256.116","http://genome.cshlp.org/content/27/4/601","The initial microbiome impacts the health and future development of premature infants. Methodological limitations have led to gaps in our understanding of the habitat range and subpopulation complexity of founding strains, as well as how different body sites support microbial growth. Here, we used metagenomics to reconstruct genomes of strains that colonized the skin, mouth, and gut of two hospitalized premature infants during the first month of life. Seven bacterial populations, considered to be identical given whole-genome average nucleotide identity of >99.9%, colonized multiple body sites, yet none were shared between infants. Gut-associated Citrobacter koseri genomes harbored 47 polymorphic sites that we used to define 10 subpopulations, one of which appeared in the gut after 1 wk but did not spread to other body sites. Differential genome coverage was used to measure bacterial population replication rates in situ. In all cases where the same bacterial population was detected in multiple body sites, replication rates were faster in mouth and skin compared to the gut. The ability of identical strains to colonize multiple body sites underscores the habit flexibility of initial colonists, whereas differences in microbial replication rates between body sites suggest differences in host control and/or resource availability. Population genomic analyses revealed microdiversity within bacterial populations, implying initial inoculation by multiple individual cells with distinct genotypes. Overall, however, the overlap of strains across body sites implies that the premature infant microbiome can exhibit very low microbial diversity.","2017-04-01","2019-04-23 01:47:34","2021-03-15 20:48:49","2019-06-07 11:57:29","601-612","","4","27","","Genome Res.","","","","","","","","en","All rights reserved","","","","genome.cshlp.org","","PMID: 28073918","","/Users/mattolm/Zotero/storage/2HHQM7ID/Olm et al_2017_Identical bacterial populations colonize premature infant gut, skin, and oral.pdf; ; /Users/mattolm/Zotero/storage/SMILUDL7/601.html","http://www.ncbi.nlm.nih.gov/pubmed/28073918","Zotero_April11_2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
